adm2,order
030163,1156
031005,1157
030164,1158
031006,1159
030165,1160
011018,1161
031007,1162
030166,1163
011019,1164
031008,1165
030167,1166
031009,1167
030168,1168
031001,1169
030160,1170
031002,1171
031003,1172
031004,1173
030158,1174
020320,1175
030159,1176
020321,1177
020322,1178
020323,1179
026025,1180
013012,1181
030150,1182
026027,1183
013013,1184
030151,1185
026028,1186
013014,1187
030152,1188
013015,1189
030153,1190
013016,1191
030154,1192
013017,1193
030155,1194
013018,1195
030156,1196
008007,1197
013019,1198
030157,1199
008008,1200
008009,1201
026020,1202
026021,1203
031030,1204
026022,1205
031031,1206
020313,1207
026023,1208
031032,1209
020314,1210
026024,1211
013010,1212
031033,1213
020315,1214
013011,1215
031034,1216
020316,1217
031035,1218
020317,1219
008001,1220
031036,1221
020318,1222
008002,1223
031037,1224
020319,1225
008003,1226
008004,1227
008005,1228
008006,1229
013009,1230
030147,1231
030148,1232
020310,1233
030149,1234
020311,1235
020312,1236
026014,1237
026015,1238
013001,1239
030183,1240
026016,1241
013002,1242
030184,1243
026017,1244
013003,1245
030185,1246
026018,1247
013004,1248
031027,1249
030186,1250
026019,1251
013005,1252
031028,1253
030187,1254
013006,1255
031029,1256
030188,1257
013007,1258
030189,1259
013008,1260
026010,1261
026011,1262
031020,1263
020302,1264
026012,1265
031021,1266
030180,1267
020303,1268
026013,1269
031022,1270
030181,1271
020304,1272
031023,1273
030182,1274
020305,1275
031024,1276
020306,1277
031025,1278
020307,1279
031026,1280
020308,1281
020309,1282
020340,1283
020341,1284
020342,1285
020343,1286
020344,1287
020345,1288
026047,1289
026048,1290
013034,1291
030172,1292
026049,1293
030173,1294
013035,1295
013036,1296
030174,1297
013037,1298
031016,1299
030175,1300
013038,1301
031017,1302
030176,1303
013039,1304
031018,1305
030177,1306
031019,1307
030178,1308
008029,1309
030179,1310
026040,1311
026041,1312
026042,1313
026043,1314
031052,1315
026044,1316
013030,1317
031053,1318
020335,1319
026045,1320
013031,1321
031054,1322
020336,1323
026046,1324
013032,1325
031055,1326
030170,1327
020337,1328
008021,1329
013033,1330
031056,1331
030171,1332
020338,1333
008022,1334
031057,1335
020339,1336
008023,1337
031058,1338
008024,1339
008025,1340
031059,1341
008026,1342
008027,1343
008028,1344
021210,1345
021211,1346
020330,1347
030169,1348
021212,1349
020331,1350
031050,1351
021213,1352
020332,1353
031051,1354
021214,1355
020333,1356
020334,1357
008020,1358
026036,1359
026037,1360
013023,1361
026038,1362
013024,1363
026039,1364
013025,1365
013026,1366
031049,1367
013027,1368
013028,1369
013029,1370
008018,1371
008019,1372
026030,1373
026031,1374
026032,1375
031041,1376
021204,1377
026033,1378
031042,1379
021205,1380
020324,1381
026034,1382
013020,1383
031043,1384
021206,1385
020325,1386
026035,1387
013021,1388
031044,1389
021207,1390
020326,1391
008010,1392
013022,1393
031045,1394
021208,1395
008011,1396
020327,1397
031046,1398
021209,1399
020328,1400
008012,1401
031047,1402
020329,1403
008013,1404
031048,1405
008014,1406
008015,1407
020360,1408
008016,1409
020361,1410
008017,1411
020362,1412
021200,1413
020363,1414
021201,1415
020364,1416
021202,1417
020365,1418
031040,1419
021203,1420
020366,1421
020367,1422
026069,1423
013056,1424
030194,1425
013057,1426
030195,1427
013058,1428
030196,1429
013059,1430
031038,1431
030197,1432
031039,1433
030198,1434
030199,1435
026061,1436
026062,1437
026063,1438
026064,1439
013050,1440
026065,1441
013051,1442
031074,1443
026066,1444
013052,1445
031075,1446
030190,1447
020357,1448
026067,1449
013053,1450
031076,1451
030191,1452
020358,1453
026068,1454
013054,1455
031077,1456
030192,1457
020359,1458
008043,1459
013055,1460
031078,1461
008044,1462
030193,1463
031079,1464
008045,1465
008046,1466
008047,1467
008048,1468
008049,1469
020350,1470
026060,1471
020351,1472
031070,1473
020352,1474
031071,1475
020353,1476
031072,1477
020354,1478
031073,1479
020355,1480
020356,1481
008040,1482
008041,1483
008042,1484
026058,1485
026059,1486
013045,1487
013046,1488
016103,1489
013047,1490
016104,1491
013048,1492
016105,1493
013049,1494
016106,1495
016107,1496
026050,1497
016108,1498
026051,1499
016109,1500
026052,1501
026053,1502
026054,1503
013040,1504
031063,1505
013041,1506
031064,1507
020346,1508
026055,1509
026056,1510
013042,1511
031065,1512
020347,1513
026057,1514
013043,1515
031066,1516
020348,1517
008032,1518
016100,1519
013044,1520
031067,1521
020349,1522
008033,1523
016101,1524
031068,1525
008034,1526
016102,1527
031069,1528
008035,1529
008036,1530
008037,1531
020382,1532
008038,1533
020383,1534
008039,1535
020384,1536
020385,1537
031060,1538
020386,1539
020387,1540
031061,1541
031062,1542
020388,1543
020389,1544
008030,1545
008031,1546
013078,1547
013079,1548
020380,1549
020381,1550
013070,1551
013071,1552
013072,1553
013073,1554
021215,1555
031096,1556
013074,1557
031097,1558
020379,1559
021216,1560
031098,1561
021217,1562
013075,1563
013076,1564
031099,1565
008065,1566
013077,1567
008066,1568
008067,1569
020371,1570
031090,1571
020372,1572
031091,1573
020373,1574
031092,1575
020374,1576
031093,1577
020375,1578
031094,1579
020376,1580
008060,1581
031095,1582
020377,1583
008061,1584
020378,1585
008062,1586
008063,1587
008064,1588
013067,1589
013068,1590
013069,1591
020370,1592
013060,1593
013061,1594
013062,1595
031085,1596
013063,1597
031086,1598
020368,1599
013064,1600
031087,1601
020369,1602
013065,1603
031088,1604
008054,1605
013066,1606
031089,1607
008055,1608
008056,1609
008057,1610
008058,1611
008059,1612
026070,1613
031080,1614
031081,1615
031082,1616
031083,1617
031084,1618
008050,1619
008051,1620
008052,1621
008053,1622
016110,1623
016111,1624
016112,1625
016113,1626
020393,1627
020394,1628
020395,1629
020396,1630
020397,1631
020398,1632
020399,1633
020390,1634
020391,1635
020392,1636
013081,1637
013082,1638
013083,1639
013084,1640
013080,1641
021097,1642
021098,1643
021099,1644
021090,1645
021091,1646
021092,1647
021093,1648
021094,1649
021095,1650
021096,1651
021086,1652
021087,1653
021088,1654
021089,1655
021080,1656
021081,1657
021082,1658
021083,1659
021084,1660
021085,1661
017016,1662
017017,1663
017018,1664
017019,1665
017010,1666
017011,1667
017012,1668
017013,1669
017014,1670
017015,1671
017005,1672
017006,1673
017007,1674
017008,1675
017009,1676
003002,1677
003003,1678
017001,1679
017002,1680
017003,1681
017004,1682
003008,1683
023002,1684
023003,1685
023004,1686
023005,1687
023006,1688
023007,1689
017030,1690
017031,1691
017032,1692
017033,1693
010001,1694
010002,1695
010003,1696
010004,1697
010005,1698
017027,1699
017028,1700
017029,1701
017020,1702
017021,1703
017022,1704
017023,1705
017024,1706
017025,1707
017026,1708
010020,1709
010021,1710
010022,1711
010023,1712
010024,1713
010025,1714
010026,1715
010027,1716
030001,1717
030002,1718
010017,1719
030003,1720
010018,1721
010019,1722
010010,1723
025013,1724
010011,1725
025014,1726
010012,1727
025015,1728
010013,1729
025016,1730
010014,1731
025017,1732
010015,1733
025018,1734
010016,1735
025010,1736
025011,1737
025012,1738
010006,1739
010007,1740
010008,1741
010009,1742
025002,1743
025003,1744
025004,1745
025005,1746
025006,1747
025007,1748
025008,1749
025009,1750
025001,1751
030020,1752
030021,1753
030022,1754
030023,1755
030024,1756
010039,1757
030025,1758
010031,1759
010032,1760
010033,1761
010034,1762
010035,1763
010036,1764
010037,1765
010038,1766
030015,1767
030016,1768
030017,1769
030018,1770
030019,1771
010030,1772
030010,1773
030011,1774
030012,1775
030013,1776
010028,1777
030014,1778
010029,1779
030004,1780
030005,1781
030006,1782
012022,1783
030007,1784
007017,1785
012023,1786
030008,1787
007018,1788
012024,1789
030009,1790
007019,1791
012025,1792
012026,1793
012027,1794
030040,1795
030041,1796
012029,1797
030042,1798
030043,1799
030044,1800
007010,1801
007011,1802
030046,1803
007012,1804
030047,1805
007013,1806
007014,1807
012020,1808
007015,1809
012021,1810
007016,1811
012019,1812
030037,1813
020200,1814
030038,1815
020201,1816
030039,1817
020202,1818
012011,1819
007006,1820
012012,1821
007007,1822
012014,1823
007009,1824
012015,1825
012016,1826
012017,1827
030030,1828
012018,1829
030031,1830
030032,1831
030033,1832
030034,1833
030035,1834
007001,1835
007002,1836
030036,1837
007003,1838
007004,1839
012010,1840
007005,1841
012008,1842
012009,1843
030026,1844
030027,1845
030028,1846
012044,1847
030029,1848
007039,1849
012045,1850
012046,1851
012047,1852
012048,1853
012049,1854
030062,1855
030063,1856
030064,1857
030065,1858
007031,1859
030066,1860
007032,1861
030067,1862
007033,1863
030068,1864
007034,1865
012040,1866
030069,1867
007035,1868
007036,1869
007037,1870
012042,1871
007038,1872
030060,1873
030061,1874
007030,1875
020220,1876
020221,1877
030059,1878
020222,1879
020223,1880
020224,1881
012033,1882
007028,1883
012034,1884
007029,1885
012035,1886
012036,1887
012037,1888
030051,1889
012038,1890
012039,1891
030052,1892
030053,1893
030054,1894
007020,1895
007021,1896
030055,1897
007022,1898
030056,1899
030057,1900
007023,1901
030058,1902
007024,1903
007025,1904
012030,1905
012031,1906
007027,1907
012032,1908
020214,1909
020215,1910
020216,1911
020217,1912
030050,1913
020218,1914
020219,1915
020210,1916
030048,1917
030049,1918
020211,1919
020212,1920
020213,1921
012066,1922
012067,1923
012068,1924
012069,1925
030084,1926
030085,1927
030086,1928
030087,1929
007053,1930
007054,1931
030088,1932
012060,1933
030089,1934
007055,1935
012061,1936
007056,1937
012062,1938
007057,1939
012063,1940
007058,1941
012064,1942
012065,1943
020203,1944
030080,1945
020204,1946
030081,1947
030082,1948
020205,1949
020206,1950
030083,1951
020207,1952
007050,1953
020208,1954
007051,1955
020209,1956
020240,1957
020241,1958
020242,1959
020243,1960
020244,1961
020245,1962
020246,1963
012055,1964
012056,1965
015113,1966
012057,1967
015114,1968
012058,1969
015115,1970
012059,1971
015116,1972
030073,1973
015117,1974
030074,1975
015118,1976
030075,1977
015119,1978
030076,1979
007042,1980
007043,1981
030077,1982
007044,1983
030078,1984
012050,1985
030079,1986
007045,1987
012051,1988
007046,1989
012052,1990
007047,1991
012053,1992
007048,1993
015110,1994
012054,1995
015111,1996
020236,1997
015112,1998
020237,1999
020238,2000
030071,2001
020239,2002
030072,2003
007040,2004
007041,2005
021110,2006
021111,2007
020230,2008
021112,2009
020231,2010
021113,2011
020232,2012
021114,2013
020233,2014
021115,2015
020234,2016
020235,2017
015102,2018
015103,2019
015104,2020
015105,2021
015106,2022
015107,2023
015108,2024
007075,2025
007076,2026
015109,2027
007077,2028
007078,2029
007079,2030
021105,2031
015100,2032
021106,2033
020225,2034
015101,2035
021107,2036
020226,2037
021108,2038
020227,2039
007070,2040
021109,2041
020228,2042
007071,2043
020229,2044
007072,2045
029017,2046
007073,2047
029018,2048
007074,2049
029019,2050
020261,2051
020262,2052
021100,2053
020263,2054
021101,2055
020264,2056
021102,2057
020265,2058
021103,2059
020266,2060
021104,2061
020267,2062
020268,2063
029011,2064
029012,2065
029013,2066
029014,2067
029016,2068
030095,2069
030096,2070
030097,2071
020260,2072
030098,2073
007064,2074
012070,2075
030099,2076
007065,2077
012071,2078
007066,2079
007067,2080
012073,2081
007068,2082
012074,2083
007069,2084
012075,2085
030090,2086
020258,2087
030091,2088
020259,2089
030092,2090
030093,2091
030094,2092
007060,2093
007061,2094
029006,2095
007062,2096
029007,2097
007063,2098
021130,2099
029008,2100
021131,2101
020250,2102
029009,2103
021132,2104
020251,2105
021133,2106
020252,2107
021134,2108
020253,2109
021135,2110
020254,2111
021136,2112
020255,2113
021137,2114
020256,2115
020257,2116
016004,2117
029001,2118
029002,2119
016005,2120
029003,2121
016006,2122
029004,2123
016007,2124
002001,2125
029005,2126
016008,2127
002002,2128
016009,2129
002003,2130
007097,2131
007098,2132
007099,2133
016001,2134
015120,2135
016002,2136
015121,2137
021127,2138
016003,2139
021128,2140
020247,2141
007090,2142
021129,2143
020248,2144
007091,2145
020249,2146
007092,2147
007093,2148
007094,2149
029039,2150
007096,2151
021120,2152
020283,2153
021121,2154
020284,2155
021122,2156
020285,2157
021123,2158
020286,2159
021124,2160
020287,2161
021125,2162
020288,2163
029031,2164
021126,2165
020289,2166
029033,2167
029034,2168
029035,2169
029036,2170
029037,2171
020280,2172
020281,2173
020282,2174
007086,2175
007087,2176
007088,2177
007089,2178
021116,2179
021117,2180
021118,2181
007080,2182
021119,2183
007082,2184
007083,2185
029028,2186
007084,2187
007085,2188
021152,2189
021153,2190
020272,2191
021154,2192
020273,2193
020274,2194
021155,2195
021156,2196
020275,2197
021157,2198
020276,2199
021158,2200
020277,2201
021159,2202
020278,2203
029021,2204
020279,2205
016026,2206
029024,2207
016027,2208
029025,2209
016028,2210
029026,2211
016029,2212
029027,2213
021150,2214
021151,2215
020270,2216
020271,2217
016020,2218
016021,2219
016022,2220
016023,2221
016024,2222
021149,2223
016025,2224
020269,2225
021141,2226
021142,2227
021143,2228
021144,2229
021145,2230
021146,2231
021147,2232
021148,2233
016015,2234
016016,2235
016017,2236
016018,2237
016019,2238
021140,2239
016010,2240
016011,2241
016012,2242
016013,2243
021138,2244
016014,2245
021139,2246
021174,2247
021175,2248
020294,2249
021176,2250
020295,2251
021177,2252
020296,2253
021178,2254
020297,2255
021179,2256
020298,2257
020299,2258
029042,2259
029043,2260
016048,2261
016049,2262
021170,2263
021171,2264
020290,2265
021172,2266
020291,2267
021173,2268
020292,2269
020293,2270
016040,2271
016041,2272
016042,2273
016043,2274
029041,2275
016044,2276
016045,2277
016046,2278
016047,2279
021163,2280
021164,2281
021165,2282
021166,2283
021167,2284
021168,2285
021169,2286
016037,2287
016038,2288
016039,2289
021160,2290
021161,2291
021162,2292
016030,2293
016031,2294
016032,2295
016033,2296
016034,2297
016035,2298
016036,2299
021196,2300
021197,2301
021198,2302
021199,2303
021190,2304
021191,2305
021192,2306
021193,2307
021194,2308
021195,2309
016062,2310
016063,2311
016064,2312
016065,2313
016066,2314
016067,2315
016068,2316
016069,2317
016060,2318
021185,2319
016061,2320
021186,2321
021187,2322
021188,2323
021189,2324
016059,2325
021180,2326
021181,2327
021182,2328
021183,2329
021184,2330
016051,2331
016052,2332
016053,2333
016054,2334
016055,2335
016056,2336
016057,2337
016058,2338
016050,2339
016084,2340
016085,2341
016086,2342
016087,2343
016088,2344
016089,2345
016080,2346
016081,2347
016082,2348
016083,2349
016073,2350
016074,2351
016075,2352
016076,2353
016077,2354
016078,2355
016079,2356
016070,2357
016071,2358
016072,2359
001001,2360
002004,2361
003001,2362
004006,2363
007059,2364
007026,2365
007052,2366
007008,2367
007081,2368
007049,2369
012013,2370
012028,2371
012041,2372
012043,2373
012072,2374
014008,2375
015044,2376
015074,2377
015082,2378
015025,2379
023001,2380
024010,2381
024037,2382
026026,2383
026029,2384
029010,2385
029029,2386
029015,2387
029020,2388
029022,2389
029023,2390
029030,2391
029032,2392
029038,2393
029040,2394
029044,2395
030045,2396
030102,2397
030070,2398
030104,2399
030130,2400
032047,2401
032017,2402
